time,id,username,text
2021-11-20 05:47:07+00:00,1461934109110927365,dracan,"b'@ariemay15 @nisa_rah @JeniusConnect @jeniushelp Data yang bocor? Itu scroll aja twitter ada ratusan yg complaint, sample aja yang nongol (tapi jujur)\n\nKalo mau buka\xc2\xb2an data utuhnya tanya sama sumbernya di jenius btpn (tapi denial), ga mungkin nanya ke amazon, google atau bank of Zimbabwe.\n\nAhli ga jaminan bener kalo msh ngaco'"
2021-11-20 05:46:33+00:00,1461933966135422984,CISSReC,"b'28.000 Data Polri Disebut Bocor, Ini Analisis Pengamat\nKlik untuk baca: https://t.co/A1JtFNvFbs'"
2021-11-20 05:18:31+00:00,1461926909382574085,Revi FAB,"b'@LazadaID Bukan dari lazada, mungkin saja seller nakal atau oknum lain.  Tapiiiii data saya bocor setelah transaksi di lazada kan? #lazada'"
2021-11-20 04:55:22+00:00,1461921085763428352,🤡,b'serem banget data anak kampus bocor semua'
2021-11-20 04:41:32+00:00,1461917605057339393,Octavia,"b'@BANKBRI_ID Kok bisa bocor ya data pribadi saya di bank BRI ??? Padahal saya tidak ada pinjaman dana online di Bukalapak tgl 18-11-2021 Rp.10.010.000, saya juga ga ada belanja online di Bukalapak, klo ada tagihan saya ga mau tanggung jawab!!!!! https://t.co/9vJ8t0mAlh'"
2021-11-20 04:30:37+00:00,1461914857201045504,"Pandini, R. I.",b'Bisa-bisanya data bocor:)'
2021-11-20 03:53:19+00:00,1461905470336106498,Wendy Martinova,"b""@kontakBRI So...what's the answer?\nBisakahyg  diperkuat itu firewallnya, bukan ganti PIN melulu. PIN itu tidak akan bocor jika tidak kami yg bocorkan atau pihak bank yg membuka data nasabah! Bosen ganti pin terus sampe lupa"""
2021-11-20 03:33:34+00:00,1461900497997160454,Radar Banyumas,"b'Data Pribadi sampai Pelanggaran Anggota Bocor, Data Polri Diretas Lagi #Nasional https://t.co/cGsUI4Jl6Q'"
2021-11-20 03:25:58+00:00,1461898585100881924,💼 KARIRFESS | ON ⚡,"b'Ko skrg aku serinh nemu loker yg isi form terus masukin NIK, nama ibu, sama no rekening ya padahal dari official akun dia. Bukan suudzon tapi agak2 ngeri juga kalo data bocor kr!'"
2021-11-20 02:25:16+00:00,1461883311928668161,️️ ️️,b'@panggilakuDWL @DesyIcha4 @girlsteutics Privasinya udah kayak milyarder aja takut data penting bocor. Padahal ya sama kita ini ya rakyat jelata yg gak punya apa apa untuk di banggakan. Itu case dia ada pada foto non-hijab aja sih \xf0\x9f\x98\x82'
2021-11-20 01:55:47+00:00,1461875893366886401,"Ir. Wawat Kurniawan MSc., MCSE","b'Jd lebih baik ga Punya KELEBIHAN drpd BERLEBIHAN, hingga BOCOR semua data dan informasi\n\nPayahnya nih prof intel membina institusi intel'"
2021-11-20 01:48:46+00:00,1461874125576847364,"Ir. Wawat Kurniawan MSc., MCSE","b'Hendro : intelijen barat ga apa2 kelebihannya, iyee bener pak, intelijen indonesia sejak dibina anda jd demikian BERLEBIH, hingga Murah hati, dgn berbagi data2 pd siapa saja, spt BSSN di hack, BIN di hack, data POLRI BOCOR, data BPJS BOCOR, data eKTP BOCOR, TNI di hack...'"
