text,clean,casefolding,tokenize,stopwords,stemming
"b'Kebocoran data pribadi kembali terjadi, nahasnya kali ini menimpa kepolisian. Diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet. https://t.co/BULJiQTcLu'",Kebocoran data pribadi kembali terjadi nahasnya kali ini menimpa kepolisian Diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet ,kebocoran data pribadi kembali terjadi nahasnya kali ini menimpa kepolisian diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet ,"['kebocoran', 'data', 'pribadi', 'kembali', 'terjadi', 'nahasnya', 'kali', 'ini', 'menimpa', 'kepolisian', 'diduga', 'ribuan', 'data', 'anggota', 'polisi', 'bocor', 'dan', 'dibagikan', 'secara', 'gratis', 'di', 'internet']","['kebocoran', 'data', 'pribadi', 'nahasnya', 'kali', 'menimpa', 'kepolisian', 'diduga', 'ribuan', 'data', 'anggota', 'polisi', 'bocor', 'dibagikan', 'gratis', 'internet']",bocor data pribadi nahas kali timpa polisi duga ribu data anggota polisi bocor bagi gratis internet
"b'@Spumino_ @yourmedicine27 @unclwn @yunaituq @txtdrberseragam websitenya aman, tapi datanya bocor dan dicuri sama si hackernya. isinya data pribadi sama jenis pelanggaran yang pernah dilakukan'", websitenya aman tapi datanya bocor dan dicuri sama si hackernya isinya data pribadi sama jenis pelanggaran yang pernah dilakukan, websitenya aman tapi datanya bocor dan dicuri sama si hackernya isinya data pribadi sama jenis pelanggaran yang pernah dilakukan,"['websitenya', 'aman', 'tapi', 'datanya', 'bocor', 'dan', 'dicuri', 'sama', 'si', 'hackernya', 'isinya', 'data', 'pribadi', 'sama', 'jenis', 'pelanggaran', 'yang', 'pernah', 'dilakukan']","['websitenya', 'aman', 'datanya', 'bocor', 'dicuri', 'si', 'hackernya', 'isinya', 'data', 'pribadi', 'jenis', 'pelanggaran']",websitenya aman data bocor curi si hackernya isi data pribadi jenis langgar
"b'Pancasila..puya polisi namun data polisi yg bocor dari oknum jendral dan kapten, brigaadil bermasalah ahirnya tercium juga .keburukan kebusukan walau di bukus rapih tetap tercium bau .. https://t.co/18pdcOxLD0'",Pancasilapuya polisi namun data polisi yg bocor dari oknum jendral dan kapten brigaadil bermasalah ahirnya tercium juga keburukan kebusukan walau di bukus rapih tetap tercium bau,pancasilapuya polisi namun data polisi yg bocor dari oknum jendral dan kapten brigaadil bermasalah ahirnya tercium juga keburukan kebusukan walau di bukus rapih tetap tercium bau,"['pancasilapuya', 'polisi', 'namun', 'data', 'polisi', 'yg', 'bocor', 'dari', 'oknum', 'jendral', 'dan', 'kapten', 'brigaadil', 'bermasalah', 'ahirnya', 'tercium', 'juga', 'keburukan', 'kebusukan', 'walau', 'di', 'bukus', 'rapih', 'tetap', 'tercium', 'bau']","['pancasilapuya', 'polisi', 'data', 'polisi', 'yg', 'bocor', 'oknum', 'jendral', 'kapten', 'brigaadil', 'bermasalah', 'ahirnya', 'tercium', 'keburukan', 'kebusukan', 'bukus', 'rapih', 'tercium', 'bau']",pancasilapuya polisi data polisi yg bocor oknum jendral kapten brigaadil masalah ahirnya cium keburu busuk bukus rapih cium bau
b'Sebanyak 28 Ribu Lebih Data Personel Polri Bocor dan Bebas Diperjualbelikan\n\n#inilahcom #inilahdotcom\nhttps://t.co/NiztoEJq7e',SebanyakRibu Lebih Data Personel Polri Bocor dan Bebas Diperjualbelikannn ,sebanyakribu lebih data personel polri bocor dan bebas diperjualbelikannn ,"['sebanyakribu', 'lebih', 'data', 'personel', 'polri', 'bocor', 'dan', 'bebas', 'diperjualbelikannn']","['sebanyakribu', 'data', 'personel', 'polri', 'bocor', 'bebas', 'diperjualbelikannn']",sebanyakribu data personel polri bocor bebas diperjualbelikannn
b'Duh! Data Kepolisian RI Dilaporkan Bocor https://t.co/JFcWRBGrxt',Duh Data Kepolisian RI Dilaporkan Bocor ,duh data kepolisian ri dilaporkan bocor ,"['duh', 'data', 'kepolisian', 'ri', 'dilaporkan', 'bocor']","['duh', 'data', 'kepolisian', 'ri', 'dilaporkan', 'bocor']",duh data polisi ri lapor bocor
b'Ada dua database Polri yang diboborkan hacker. Apa saja isinya?\nhttps://t.co/2GoLjv0KzH',Ada dua database Polri yang diboborkan hacker Apa saja isinyan,ada dua database polri yang diboborkan hacker apa saja isinyan,"['ada', 'dua', 'database', 'polri', 'yang', 'diboborkan', 'hacker', 'apa', 'saja', 'isinyan']","['database', 'polri', 'diboborkan', 'hacker', 'isinyan']",database polri diboborkan hacker isinyan
"b'Kebocoran data pribadi kembali terjadi, nahasnya kali ini menimpa kepolisian. Diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet. https://t.co/MzmmQgVhkc'",Kebocoran data pribadi kembali terjadi nahasnya kali ini menimpa kepolisian Diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet ,kebocoran data pribadi kembali terjadi nahasnya kali ini menimpa kepolisian diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet ,"['kebocoran', 'data', 'pribadi', 'kembali', 'terjadi', 'nahasnya', 'kali', 'ini', 'menimpa', 'kepolisian', 'diduga', 'ribuan', 'data', 'anggota', 'polisi', 'bocor', 'dan', 'dibagikan', 'secara', 'gratis', 'di', 'internet']","['kebocoran', 'data', 'pribadi', 'nahasnya', 'kali', 'menimpa', 'kepolisian', 'diduga', 'ribuan', 'data', 'anggota', 'polisi', 'bocor', 'dibagikan', 'gratis', 'internet']",bocor data pribadi nahas kali timpa polisi duga ribu data anggota polisi bocor bagi gratis internet
b'Duh! Ribuan Data Personil Polri Bocor dan Dibagikan Secara\xc2\xa0Gratis? https://t.co/crdVQBknKv',Duh Ribuan Data Personil Polri Bocor dan Dibagikan,duh ribuan data personil polri bocor dan dibagikan,"['duh', 'ribuan', 'data', 'personil', 'polri', 'bocor', 'dan', 'dibagikan']","['duh', 'ribuan', 'data', 'personil', 'polri', 'bocor', 'dibagikan']",duh ribu data personil polri bocor bagi
"b'Kebocoran data pribadi kembali terjadi, nahasnya kali ini menimpa kepolisian. Diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet. https://t.co/zJvzBu7jfa'",Kebocoran data pribadi kembali terjadi nahasnya kali ini menimpa kepolisian Diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet ,kebocoran data pribadi kembali terjadi nahasnya kali ini menimpa kepolisian diduga ribuan data anggota polisi bocor dan dibagikan secara gratis di internet ,"['kebocoran', 'data', 'pribadi', 'kembali', 'terjadi', 'nahasnya', 'kali', 'ini', 'menimpa', 'kepolisian', 'diduga', 'ribuan', 'data', 'anggota', 'polisi', 'bocor', 'dan', 'dibagikan', 'secara', 'gratis', 'di', 'internet']","['kebocoran', 'data', 'pribadi', 'nahasnya', 'kali', 'menimpa', 'kepolisian', 'diduga', 'ribuan', 'data', 'anggota', 'polisi', 'bocor', 'dibagikan', 'gratis', 'internet']",bocor data pribadi nahas kali timpa polisi duga ribu data anggota polisi bocor bagi gratis internet
"b'@democrazymedia sering banget data pemerintah bocor, udah kayak open source aja'", sering banget data pemerintah bocor udah kayak open source aja, sering banget data pemerintah bocor udah kayak open source aja,"['sering', 'banget', 'data', 'pemerintah', 'bocor', 'udah', 'kayak', 'open', 'source', 'aja']","['banget', 'data', 'pemerintah', 'bocor', 'udah', 'kayak', 'open', 'source', 'aja']",banget data perintah bocor udah kayak open source aja
"b'Waduh, Ribuan Data Anggota Polisi Bocor di Internet https://t.co/5zR4mWRDBb'",Waduh Ribuan Data Anggota Polisi Bocor di Internet ,waduh ribuan data anggota polisi bocor di internet ,"['waduh', 'ribuan', 'data', 'anggota', 'polisi', 'bocor', 'di', 'internet']","['ribuan', 'data', 'anggota', 'polisi', 'bocor', 'internet']",ribu data anggota polisi bocor internet
